job_title,company_title,salary,location,posting_date,expiration_date,industry,job_type,exp,position,detailed_welfare,age,sex,edu_level,job_tags
TPBANK - Chuyên Viên/ Nhân Viên Quan Hệ Khách Hàng Cá Nhân,Ngân hàng TMCP Tiên Phong - CN Thăng Long,Lương: 15 Tr - 30 Tr VND,Hà Nội,25-06-2023,24/07/2023,Ngân hàng | Tài chính / Đầu tư | Bán hàng / Kinh doanh,Nhân viên chính thức,1 - 3 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm,,,,Guest relationship officer | TPBANK - Chuyên Viên/ Nhân Viên Quan Hệ Khách Hàng Cá Nhân
Mid/Senior .NET Developer,Simpson Strong Tie Viet Nam Company Limited,Lương: Cạnh tranh,Hồ Chí Minh,25-06-2023,24/07/2023,CNTT - Phần mềm,Nhân viên chính thức,3 - 10 Năm,Nhân viên,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                Không giới hạn tuổi
         
	",,,
Hà Nội - CN Thường Tín - Tổ trưởng HTKD Bảo Hiểm,LPBank,Lương: Cạnh tranh,Hà Nội,24-06-2023,23/07/2023,Bảo hiểm | Bán hàng / Kinh doanh | Kế toán / Kiểm toán,Nhân viên chính thức,Trên 2 Năm,Quản lý,Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Đại học
         ",Tư vấn tài chính | Hà Nội - CN Thường Tín - Tổ trưởng HTKD Bảo Hiểm
Nhân Viên Thu Hồi Nợ Thực Địa_ Bắc Ninh & Bắc Giang,Công ty Tài chính TNHH Một Thành Viên Shinhan Việt Nam ,Lương: 7 Tr - 24 Tr VND,Bắc Ninh | Bắc Giang,24-06-2023,,Tư vấn | Dịch vụ khách hàng | Tài chính / Đầu tư,Nhân viên chính thức,Nhân viên,23/07/2023,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Nghỉ phép năm," Độ tuổi:
                        18 - 40
                 
	",," Bằng cấp:
                Trung học
         ",
Chuyên Viên Kế Toán Quản Trị & Ngân Sách,CÔNG TY CỔ PHẦN CHỨNG KHOÁN ASEAN,Lương: Cạnh tranh,Hà Nội,24-06-2023,23/07/2023,Kế toán / Kiểm toán | Chứng khoán | Tài chính / Đầu tư,Nhân viên chính thức,Trên 2 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Đại học
         ", Nhân viên kế toán |  Kế toán viên |  Accountant |  Junior Accountant
"Admin Hành Chính Văn Phòng Khối Nghiệp Vụ Tín Dụng - Làm việc tại Hải Phòng, Vĩnh Phúc, ca xoay",Công ty Tài chính TNHH Một Thành Viên Shinhan Việt Nam ,Lương: 5 Tr - 7 Tr VND,Hải Phòng | Vĩnh Phúc,24-06-2023,23/07/2023,Dịch vụ khách hàng | Ngân hàng | Tài chính / Đầu tư,Nhân viên chính thức,1 - 2 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Trung cấp
         ",Admin Hành Chính Văn Phòng Khối Nghiệp Vụ Tín Dụng - Làm việc tại Hải Phòng Vĩnh Phúc ca xoay |  Nhân Viên Phòng Kế Toán |  Credit Accountant |  Cán bộ tài chính kế toán |  Accounting Executive |  Accountant cum Office Admin |  Accountant and Administrative Staff |  Kế toán kho vận |  Nhân viên kế toán nhà máy |  Chuyên viên kế toán chuyên quản |  Nhân viên kế toán vật tư
Nhân viên Sale Admin/ Kế toán chi nhánh [Ocean Edu Ân Thi],Công Ty CP Giáo Dục Đại Dương,Lương: 11 Tr - 13 Tr VND,Hưng Yên,24-06-2023,23/07/2023,Bán hàng / Kinh doanh | Giáo dục / Đào tạo | Kế toán / Kiểm toán,Nhân viên chính thức,Trên 1 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Nghỉ phép năm," Độ tuổi:
                        20 - 35
                 
	",," Bằng cấp:
                Cao đẳng
         ", thống kê
Trợ giảng Tiếng Anh  [Ocean edu Khoái Châu - Hưng Yên],Công Ty CP Giáo Dục Đại Dương,Lương: 11 Tr - 13 Tr VND,Hưng Yên,24-06-2023,,Giáo dục / Đào tạo | Biên phiên dịch | Tư vấn,Nhân viên chính thức,Nhân viên,23/07/2023,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm," Độ tuổi:
                        21 - 35
                 
	",," Bằng cấp:
                Cao đẳng
         ",
Giáo viên dạy IELTS part-time(Online),CÔNG TY TNHH THƯƠNG MẠI QUỐC TẾ VÀ PHÁT TRIỂN GIÁO DỤC HAVINA,Lương: 6 Tr - 12 Tr VND,Hà Nội,24-06-2023,23/07/2023,Giáo dục / Đào tạo,Bán thời gian,Trên 1 Năm,Nhân viên,Du Lịch | Chế độ thưởng | Đào tạo | Tăng lương," Độ tuổi:
                        20 - 35
                 
	",," Bằng cấp:
                Cao đẳng
         ",Giáo viên dạy IELTS part-timeOnline |  Giảng viên |  Teacher |  Trợ giảng |  Lecturer |  teaching |  gia sư
Kế toán trưởng ( TP. Thanh Hóa),Học Viện Giáo dục A Plus  Việt Nam,Lương: 20 Tr - 30 Tr VND,Thanh Hóa,24-06-2023,23/07/2023,Kế toán / Kiểm toán | Ngân hàng | Tài chính / Đầu tư,Nhân viên chính thức,2 - 5 Năm,Quản lý,Chế độ bảo hiểm | Du Lịch | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí," Độ tuổi:
                        28 - 40
                 
	",," Bằng cấp:
                Đại học
         ",Kế toán trưởng  TP. Thanh Hóa |  Chief accountant |  Trưởng phòng kế toán |  Accounting Manager
